Região,Período,Casos_Hospitalares,Ano,Mês,Mês_Num,Data,Ano_Num,Trimestre,Semestre
Região Nordeste,2013/Jan,10.0,2013,Jan,1,2013-01-01,2013,1,1
Região Sudeste,2013/Jan,21.0,2013,Jan,1,2013-01-01,2013,1,1
Região Sul,2013/Jan,8.0,2013,Jan,1,2013-01-01,2013,1,1
Região Centro-Oeste,2013/Jan,3.0,2013,Jan,1,2013-01-01,2013,1,1
Região Norte,2013/Fev,4.0,2013,Fev,2,2013-02-01,2013,1,1
Região Nordeste,2013/Fev,4.0,2013,Fev,2,2013-02-01,2013,1,1
Região Sudeste,2013/Fev,14.0,2013,Fev,2,2013-02-01,2013,1,1
Região Sul,2013/Fev,4.0,2013,Fev,2,2013-02-01,2013,1,1
Região Centro-Oeste,2013/Fev,2.0,2013,Fev,2,2013-02-01,2013,1,1
Região Norte,2013/Mar,1.0,2013,Mar,3,2013-03-01,2013,1,1
Região Nordeste,2013/Mar,10.0,2013,Mar,3,2013-03-01,2013,1,1
Região Sudeste,2013/Mar,11.0,2013,Mar,3,2013-03-01,2013,1,1
Região Sul,2013/Mar,8.0,2013,Mar,3,2013-03-01,2013,1,1
Região Centro-Oeste,2013/Mar,1.0,2013,Mar,3,2013-03-01,2013,1,1
Região Norte,2013/Abr,4.0,2013,Abr,4,2013-04-01,2013,2,1
Região Nordeste,2013/Abr,5.0,2013,Abr,4,2013-04-01,2013,2,1
Região Sudeste,2013/Abr,14.0,2013,Abr,4,2013-04-01,2013,2,1
Região Sul,2013/Abr,6.0,2013,Abr,4,2013-04-01,2013,2,1
Região Centro-Oeste,2013/Abr,1.0,2013,Abr,4,2013-04-01,2013,2,1
Região Norte,2013/Mai,1.0,2013,Mai,5,2013-05-01,2013,2,1
Região Nordeste,2013/Mai,10.0,2013,Mai,5,2013-05-01,2013,2,1
Região Sudeste,2013/Mai,20.0,2013,Mai,5,2013-05-01,2013,2,1
Região Sul,2013/Mai,7.0,2013,Mai,5,2013-05-01,2013,2,1
Região Centro-Oeste,2013/Mai,3.0,2013,Mai,5,2013-05-01,2013,2,1
Região Norte,2013/Jun,3.0,2013,Jun,6,2013-06-01,2013,2,1
Região Nordeste,2013/Jun,11.0,2013,Jun,6,2013-06-01,2013,2,1
Região Sudeste,2013/Jun,18.0,2013,Jun,6,2013-06-01,2013,2,1
Região Sul,2013/Jun,4.0,2013,Jun,6,2013-06-01,2013,2,1
Região Centro-Oeste,2013/Jun,3.0,2013,Jun,6,2013-06-01,2013,2,1
